t,tag,z,bias,value
0.43917,rec,0,38229,1139
0.43961,rec,0,38229,1184
0.44053,rec,0,38229,1139
0.44085,rec,0,38229,1261
0.44111,rec,0,38229,1201
0.44139,rec,0,38229,1208
0.44168,rec,0,38229,1164
0.44194,rec,0,38229,1086
0.44223,rec,0,38229,1079
0.44267,rec,0,38229,1046
0.443,rec,0,38229,1035
0.4433,rec,0,38229,1062
0.44359,rec,0,38229,1030
0.44389,rec,0,38229,995
0.44416,rec,0,38229,1008
0.44447,rec,0,38229,1035
0.44476,rec,0,38229,1078
0.44505,rec,0,38229,1061
0.44535,rec,0,38229,1041
0.44562,rec,0,38229,1075
0.44589,rec,0,38229,1120
0.44615,rec,0,38229,1129
0.44649,rec,0,38229,1110
0.44678,rec,0,38229,1021
0.44711,rec,0,38229,1009
0.44741,rec,0,38229,1064
0.44774,rec,0,38229,1057
0.44803,rec,0,38229,1059
0.44836,rec,0,38229,1036
0.44865,rec,0,38229,991
0.44895,rec,0,38229,1017
0.44924,rec,0,38229,1038
0.44953,rec,0,38229,944
0.44986,rec,0,38229,1043
0.45016,rec,0,38229,1018
0.45049,rec,0,38229,1073
0.45077,rec,0,38229,1065
0.45107,rec,0,38229,1058
0.45136,rec,0,38229,1080
0.45165,rec,0,38229,1091
0.45195,rec,0,38229,1079
0.45224,rec,0,38229,1086
0.45253,rec,0,38229,1035
0.45286,rec,0,38229,1068
0.45315,rec,0,38229,1078
0.45345,rec,0,38229,1117
0.45374,rec,0,38229,1058
0.45403,rec,0,38229,1104
0.45437,rec,0,38229,1130
0.45466,rec,0,38229,1161
0.45499,rec,0,38229,1132
0.45528,rec,0,38229,999
0.45561,rec,0,38229,1006
0.4559,rec,0,38229,1049
0.45621,rec,0,38229,1100
0.45649,rec,0,38229,1060
0.45677,rec,0,38229,1083
0.45707,rec,0,38229,1160
0.45739,rec,0,38229,1096
0.45808,rec,0,38229,1004
0.45844,rec,0,38229,1131
0.45881,rec,0,38229,1058
0.45912,rec,0,38229,939
0.4594,rec,0,38229,1050
0.45971,rec,0,38229,1080
0.46001,rec,0,38229,1051
0.4603,rec,0,38229,1095
0.46059,rec,0,38229,1029
0.46089,rec,0,38229,1045
0.46117,rec,0,38229,1069
0.46148,rec,0,38229,1010
0.46175,rec,0,38229,1053
0.46207,rec,0,38229,1092
0.46238,rec,0,38229,1089
0.46269,rec,0,38229,999
0.46296,rec,0,38229,1023
0.46337,rec,0,38229,1070
0.46372,rec,0,38229,1165
0.46403,rec,0,38229,1133
0.46435,rec,0,38229,1077
0.46464,rec,0,38229,1180
0.46493,rec,0,38229,1087
0.46523,rec,0,38229,1160
0.46557,rec,0,38229,1093
0.46589,rec,0,38229,1050
0.46623,rec,0,38229,1115
0.46657,rec,0,38229,1141
0.46687,rec,0,38229,1092
0.4672,rec,0,38229,1140
0.4675,rec,0,38229,1150
0.46785,rec,0,38229,1189
0.4682,rec,0,38229,1106
0.4685,rec,0,38229,1177
0.46884,rec,0,38229,1075
0.46919,rec,0,38229,1066
0.46952,rec,0,38229,1119
0.46991,rec,0,38229,1061
0.47034,rec,0,38229,1014
0.47068,rec,0,38229,1170
0.47103,rec,0,38229,1126
0.47137,rec,0,38229,1054
0.47171,rec,0,38229,1090
0.47202,rec,0,38229,1054
0.47237,rec,0,38229,1063
0.47271,rec,0,38229,1066
0.47308,rec,0,38229,1105
0.47341,rec,0,38229,1129
0.47375,rec,0,38229,1038
0.47413,rec,0,38229,1064
0.47452,rec,0,38229,1150
0.47489,rec,0,38229,1000
0.47525,rec,0,38229,1088
0.4758,rec,0,38229,1091
0.47615,rec,0,38229,1082
0.47661,rec,0,38229,1127
0.47707,rec,0,38229,1110
0.47743,rec,0,38229,1058
0.47779,rec,0,38229,1031
0.47822,rec,0,38229,1111
0.47863,rec,0,38229,1061
0.47904,rec,0,38229,1038
0.47944,rec,0,38229,1047
0.4798,rec,0,38229,1024
0.48029,rec,0,38229,1035
0.48064,rec,0,38229,951
0.48098,rec,0,38229,1066
0.48135,rec,0,38229,1082
0.48169,rec,0,38229,1078
0.48202,rec,0,38229,1031
0.48234,rec,0,38229,1011
0.48267,rec,0,38229,1011
0.48301,rec,0,38229,1024
0.48331,rec,0,38229,1092
0.48361,rec,0,38229,1016
0.48389,rec,0,38229,1029
0.48421,rec,0,38229,1099
0.48448,rec,0,38229,1036
0.48472,rec,0,38229,1015
0.485,rec,0,38229,991
0.48524,rec,0,38229,937
0.4855,rec,0,38229,1092
0.48576,rec,0,38229,1115
0.48608,rec,0,38229,1087
0.48633,rec,0,38229,1070
0.48658,rec,0,38229,1110
0.48685,rec,0,38229,1020
0.48712,rec,0,38229,978
0.4874,rec,0,38229,985
0.4877,rec,0,38229,1026
0.48797,rec,0,38229,1039
0.48825,rec,0,38229,1020
0.48851,rec,0,38229,1051
0.48885,rec,0,38229,1022
0.48912,rec,0,38229,1039
0.48937,rec,0,38229,1091
0.48962,rec,0,38229,1067
0.48989,rec,0,38229,1084
0.4902,rec,0,38229,1102
0.49047,rec,0,38229,1077
0.49075,rec,0,38229,1088
0.49102,rec,0,38229,1081
0.49133,rec,0,38229,1057
0.4916,rec,0,38229,1014
0.49187,rec,0,38229,1054
0.49214,rec,0,38229,1006
0.4925,rec,0,38229,1086
0.49277,rec,0,38229,1061
0.4931,rec,0,38229,1046
0.49337,rec,0,38229,1064
0.49362,rec,0,38229,1048
0.49389,rec,0,38229,1009
0.49423,rec,0,38229,1063
0.49448,rec,0,38229,1075
0.49473,rec,0,38229,1054
0.49501,rec,0,38229,1133
0.49529,rec,0,38229,1083
0.49559,rec,0,38229,1109
0.49585,rec,0,38229,1136
0.49612,rec,0,38229,1096
0.49639,rec,0,38229,1027
0.49664,rec,0,38229,1067
0.49698,rec,0,38229,1097
0.49725,rec,0,38229,1060
0.49749,rec,0,38229,1071
0.49776,rec,0,38229,1062
0.49808,rec,0,38229,954
0.49834,rec,0,38229,1132
0.4986,rec,0,38229,1086
0.49888,rec,0,38229,1032
0.49912,rec,0,38229,1010
0.4994,rec,0,38229,987
0.4997,rec,0,38229,1008
0.49998,rec,0,38229,975
0.50026,rec,0,38229,963
0.5006,rec,0,38229,1025
0.50088,rec,0,38229,1007
0.50119,rec,0,38229,1005
0.50144,rec,0,38229,976
0.50168,rec,0,38229,1071
0.50193,rec,0,38229,1080
0.5022,rec,0,38229,1049
0.50248,rec,0,38229,1043
0.50275,rec,0,38229,1100
0.50302,rec,0,38229,1073
0.50335,rec,0,38229,1049
0.50362,rec,0,38229,1052
0.50389,rec,0,38229,1047
0.50423,rec,0,38229,1026
0.50459,rec,0,38229,1040
0.50487,rec,0,38229,1171
