t,value
0.39853,32767
0.39878,32767
0.39903,32767
0.39928,32767
0.39953,32767
0.39982,32767
0.40009,32767
0.40034,32767
0.40062,32767
0.40090,32767
0.40116,32767
0.40140,32767
0.40165,32767
0.40190,32767
0.40217,32767
0.40243,32767
0.40267,32767
0.40295,32767
0.40320,32767
0.40347,32767
0.40374,32767
0.40407,32767
0.40432,32767
0.40459,32767
0.40484,32767
0.40511,32767
0.40541,32767
0.40568,32767
0.40605,32767
0.40636,32767
0.40668,32767
0.40697,32767
0.40722,32767
0.40748,32767
0.40774,32767
0.40806,32767
0.40832,32767
0.40863,32767
0.40891,32767
0.40915,32767
0.40945,32767
0.40972,32767
0.40999,32767
0.41032,32767
0.41059,32767
0.41085,32767
0.41118,32767
0.41147,32767
0.41174,32767
0.41203,32767
0.41228,32767
0.41253,32767
0.41281,32767
0.41308,32767
0.41337,32767
0.41369,32767
0.41398,32767
0.41427,32767
0.41456,32767
0.41486,32767
0.41513,32767
0.41541,32767
0.41571,32767
0.41600,32767
0.41631,32767
0.41660,32767
0.41689,32767
0.41718,32767
0.41748,32767
0.41776,32767
0.41806,32767
0.41835,32767
0.41864,32767
0.41893,32767
0.41922,32767
0.41952,32767
0.41981,32767
0.42010,32767
0.42039,32767
0.42068,32767
0.42096,32767
0.42123,32767
0.42149,32767
0.42181,32767
0.42208,32767
0.42235,32767
0.42266,32767
0.42295,32767
0.42325,32767
0.42358,32767
0.42387,32767
0.42418,32767
0.42448,32767
0.42476,32767
0.42506,32767
0.42542,32767
0.42568,32767
0.42595,32767
0.42623,32767
0.42651,32767
0.42681,32767
0.42710,32767
0.42739,32767
0.42769,32767
0.42797,32767
0.42821,32767
0.42850,32767
0.42883,32767
0.42913,32767
0.42941,32767
0.42970,32767
0.42999,32767
0.43033,32767
0.43062,32767
0.43094,32767
0.43122,32767
0.43152,32767
0.43181,32767
0.43210,32767
0.43239,32767
0.43268,32767
0.43298,32767
0.43328,32767
0.43358,32767
0.43387,32767
0.43421,32767
0.43449,32767
0.43483,32767
0.43511,32767
0.43535,32767
0.43566,32767
0.43595,32767
0.43625,32767
0.43656,32767
0.43685,32767
0.43714,32767
0.43744,32767
0.43773,32767
0.43801,32767
0.43829,32767
0.43856,32767
0.43883,32767
0.43911,32767
0.43941,32767
0.43970,32767
0.44014,32767
0.44047,32767
0.44083,32767
0.44108,32767
0.44139,32767
0.44168,32767
0.44198,32767
0.44228,32767
0.44258,32767
0.44288,32767
0.44316,32767
0.44346,32767
0.44374,32767
0.44408,32767
0.44437,32767
0.44468,32767
0.44497,32767
0.44526,32767
0.44556,32767
0.44585,32767
0.44615,32767
0.44643,32767
0.44668,32767
0.44698,32767
0.44727,32767
0.44756,32767
0.44785,32767
0.44816,32767
0.44843,32767
0.44868,32767
0.44893,32767
0.44919,32767
0.44947,32767
0.44973,32767
0.45003,32767
0.45033,32767
0.45062,32767
0.45096,32767
0.45125,32767
0.45155,32767
0.45181,32767
0.45205,32767
0.45231,32767
0.45257,32767
0.45283,32767
0.45311,32767
0.45337,32767
0.45370,32767
0.45395,32767
0.45420,32767
0.45449,32767
0.45480,32767
0.45505,32767
0.45534,32767
0.45568,32767
0.45596,32767
0.45624,32767
0.45658,32767
0.45687,32767
0.45720,32767
0.45749,32767
0.45783,32767
0.45812,32767
0.45845,32767
0.45876,32767
0.45908,32767
0.45933,32767
0.45957,32767
0.45982,32767
0.46008,32767
0.46036,32767
0.46068,32767
0.46095,32767
0.46122,32767
0.46146,32767
0.46176,32767
0.46205,32767
0.46231,32767
0.46256,32767
0.46281,32767
0.46308,32767
0.46334,32767
0.46358,32767
0.46387,32767
0.46420,32767
0.46445,32767
0.46471,32767
0.46499,32767
0.46533,32767
0.46562,32767
0.46595,32767
0.46620,32767
0.46645,32767
0.46673,32767
0.46706,32767
0.46733,32767
0.46760,32767
0.46788,32767
0.46818,32767
0.46845,32767
0.46870,32767
0.46895,32767
0.46920,32767
0.46950,32767
0.46980,32767
0.47009,32767
0.47035,32767
0.47064,32767
0.47094,32767
0.47120,32767
0.47147,32767
0.47172,32767
0.47201,32767
0.47230,32767
0.47256,32767
0.47280,32767
0.47310,32767
0.47335,32767
0.47366,32767
0.47394,32767
0.47422,32767
0.47451,32767
0.47478,32767
0.47505,32767
0.47530,32767
0.47555,32767
0.47581,32767
0.47610,32767
0.47639,32767
0.47668,32767
0.47696,32767
0.47725,32767
0.47753,32767
0.47780,32767
0.47807,32767
0.47837,32767
0.47868,32767
0.47894,32767
0.47921,32767
0.47949,32767
0.47983,32767
0.48009,32767
0.48036,32767
0.48063,32767
0.48094,32767
0.48122,32767
0.48147,32767
0.48173,32767
0.48204,32767
0.48233,32767
0.48258,32767
0.48286,32767
0.48312,32767
0.48341,32767
0.48366,32767
0.48392,32767
0.48421,32767
0.48451,32767
0.48481,32767
0.48510,32767
0.48541,32767
0.48571,32767
0.48604,32767
0.48633,32767
0.48660,32767
0.48689,32767
0.48716,32767
0.48743,32767
0.48768,32767
0.48798,32767
0.48826,32767
0.48855,32767
0.48880,32767
0.48906,32767
0.48936,32767
0.48964,32767
0.48991,32767
0.49020,32767
0.49050,32767
0.49081,32767
0.49109,32767
0.49136,32767
0.49166,32767
0.49193,32767
0.49218,32767
0.49244,32767
0.49273,32767
0.49302,32767
0.49331,32767
0.49360,32767
0.49384,32767
0.49410,32767
0.49439,32767
0.49467,32767
0.49494,32767
0.49520,32767
0.49549,32767
0.49576,32767
0.49604,32767
0.49633,32767
0.49663,32767
0.49693,32767
0.49720,32767
0.49746,32767
0.49772,32767
0.49802,32767
0.49831,32767
0.49861,32767
0.49887,32767
0.49918,32767
0.49947,32767
0.49975,32767
0.50006,32767
0.50033,32767
0.50065,32767
0.50097,32767
0.50125,32767
0.50153,32767
0.50182,32767
0.50208,32767
0.50233,32767
0.50260,32767
0.50286,32767
0.50320,32767
0.50345,32767
0.50375,32767
0.50406,32767
0.50435,32767
0.50461,32767
0.50492,32767
0.50518,32767
0.50545,32767
0.50573,32767
0.50600,32767
0.50631,32767
0.50658,32767
0.50687,32767
0.50718,32767
0.50747,32767
0.50772,32767
0.50800,32767
0.50826,32767
0.50856,32767
0.50885,32767
0.50913,32767
0.50937,32767
0.50970,32767
0.50999,32767
0.51032,32767
0.51068,32767
0.51098,32767
0.51127,32767
0.51156,32767
0.51186,32767
0.51213,32767
0.51246,32767
0.51273,32767
0.51304,32767
0.51334,32767
0.51369,32767
0.51401,32767
0.51431,32767
0.51462,32767
0.51491,32767
0.51521,32767
0.51549,32767
0.51583,32767
0.51611,32767
0.51643,32767
0.51672,32767
0.51702,32767
0.51731,32767
0.51766,32767
0.51797,32767
0.51826,32767
0.51854,32767
0.51883,32767
0.51912,32767
