t,leg,z,mean
1789782624.863,up0,40200,18
1789782624.885,up0,40300,22
1789782624.909,up0,40400,22
1789782624.933,up0,40500,16
1789782624.959,up0,40600,19
1789782624.984,up0,40700,23
1789782625.008,up0,40800,16
1789782625.032,up0,40900,12
1789782625.056,up0,41000,22
1789782625.079,up0,41100,18
1789782625.102,up0,41200,29
1789782625.122,up0,41300,36
1789782625.145,up0,41400,14
1789782625.17,up0,41500,32
1789782625.195,up0,41600,33
1789782625.219,up0,41700,23
1789782625.243,up0,41800,23
1789782625.266,up0,41900,31
1789782625.288,up0,42000,33
1789782625.31,up0,42100,30
1789782625.332,up0,42200,28
1789782625.355,up0,42300,26
1789782625.379,up0,42400,32
1789782625.402,up0,42500,31
1789782625.424,up0,42600,27
1789782625.449,up0,42700,18
1789782625.474,up0,42800,34
1789782625.499,up0,42900,25
