t_s,adcr
0.15568039999925531,-1
0.15597259998321533,-31
0.15625589998671785,25
0.15660220000427216,6
0.15687700000125915,19
0.15719420000095852,-16
0.1574442999844905,-89
0.1577337000053376,-28
0.15799879998667166,-9
0.15825129998847842,-62
0.15858920000027865,-33
0.15884319998440333,-6
0.15912939998088405,-6
0.15946609998354688,55
0.1597256999812089,20
0.15998249998665415,13
0.16027520000352524,-1
0.1605472999799531,11
0.1608367000008002,80
0.16111689998069778,11
0.16139229998225346,36
0.16167279999353923,31
0.1619850999850314,-17
0.16223570000147447,-69
0.16248989998712204,-3
0.1627421999874059,-6
0.16302179999183863,7
0.16329699999187142,8
0.16354879998834804,-57
0.16379479999886826,42
0.16404839997994713,28
0.16429660000721924,14
0.16454860000521876,66
0.16479690000414848,57
0.16502960000070743,9
0.16529619999346323,-10
0.16559649998089299,32
0.16587529997923411,-5
0.1662142999994103,-77
0.1664652999897953,23
0.16671279998263344,20
0.1669638000021223,-23
0.16721399998641573,57
0.1675249999971129,39
0.16780860000289977,-11
0.1681269999826327,-111
0.16838940000161529,-94
0.16868060000706464,-31
0.16900329999043606,-19
0.16938879998633638,-36
0.17047139999340288,7
0.17087499998160638,38
0.17120079998858273,-34
0.1715410999895539,-74
0.17188089998671785,36
0.17221689998405054,12
0.17251289999694563,-16
0.17278979998081923,-27
0.1730868000013288,-68
0.17337829997995868,40
0.17367089999606833,-5
0.17392869998002425,13
0.17421749999630265,30
0.17449780000606552,49
0.17479619997902773,-14
0.17504649999318644,41
0.17531170000438578,50
0.17558909999206662,50
0.17584439998609014,48
0.17607899999711663,55
0.17631009998149239,27
0.17656299998634495,12
0.17681330000050366,-36
0.17707969999173656,-31
0.17733619999489747,-14
0.1775863999791909,-30
0.17783329999656416,-84
0.17811340000480413,-29
0.1783714999910444,-50
0.1786679999786429,-12
0.17895639999187551,-51
0.17921269999351352,-41
0.1794684999913443,6
0.17971539997961372,-21
0.17997189998277463,47
0.18026299998746254,-69
0.18057199998293072,-35
0.1808160999789834,-7
0.18106599999009632,-43
0.18131260000518523,6
0.18156139997881837,27
0.1818104999838397,-25
0.18206299998564646,43
0.18235389998881146,10
0.18263460000162013,59
0.18290839999099262,40
0.1832048000069335,-18
0.18347869999706745,-64
0.18376220000209287,-59
0.1840719000028912,-13
0.18435599998338148,-96
0.1846285999927204,-85
0.18490910000400618,-101
0.18520659999921918,-10
0.18548079999163747,25
0.18600220000371337,13
0.1863901999895461,50
0.18670339998789132,-124
0.18699099999503233,-41
0.187399499991443,-14
0.18794350000098348,-29
0.18829019999247976,-74
0.18861489999108016,2
0.18890949999331497,31
0.1893213999865111,-13
0.18962869999813847,-21
0.19002519999048673,81
0.19047820000560023,-52
0.19078559998888522,-38
0.19112579998909496,-62
0.1915318999963347,24
0.19194249997963198,7
0.19229259999701753,56
0.19262590000289492,0
0.19292370000039227,-10
0.19322270000702702,26
0.19352519998210482,41
0.19382539999787696,33
0.19411939999554306,20
0.19442670000717044,-59
0.19472379999933764,-21
0.19502280000597239,-28
0.19532889997935854,19
0.19561999998404644,59
0.19593659997917712,76
0.19622459998936392,28
0.19652709999354556,17
0.19682769998325966,-31
0.19711649999953806,-9
0.1974212999921292,-11
0.1977236999955494,10
0.19802700000582263,55
0.19832490000408143,-91
0.1986196999787353,-24
0.19889989998773672,-17
0.19922340000630356,-74
0.19951489998493344,1
0.19982109998818487,66
0.20008929999312386,36
0.20041439999477006,28
0.20071989999269135,-68
0.2010139999911189,-45
0.20131649999530055,-95
0.20159290000447072,-57
0.20189140000729822,-2
0.20219169999472797,36
0.20274809998227283,47
0.20447430000058375,-52
0.20493539999006316,-35
0.20525579998502508,9
0.20568179999827407,8
0.20601880000322126,5
0.20630109999910928,-34
0.20660330000100657,-74
0.20689499998115934,-26
0.207206999999471,43
0.20752809999976307,68
0.20782749998033978,-43
0.20814159998553805,17
0.20853549998719245,51
0.20883419999154285,64
0.20915429998422042,-13
0.20946399998501875,-51
0.20977549999952316,-3
0.2100767999945674,-12
0.21036999998614192,-4
0.21067579998634756,18
0.2109747999929823,-36
0.2112753999826964,-5
0.21157769998535514,-60
0.21188099999562837,-24
0.21220360000734217,59
0.2124986999842804,9
0.21280549999210052,61
0.2131082999985665,-53
0.21345559999463148,13
0.21377030000439845,13
0.2141254000016488,43
0.21445299999322742,2
0.21474820000003092,-17
0.21504889999050647,15
0.21538219999638386,51
0.21570589998736978,33
0.21600059999036603,-25
0.21629969999776222,-16
0.21659619998536073,6
0.2169008000055328,21
0.21720049998839386,34
0.217495399992913,-3
0.21782719998736866,-4
0.21812079998198897,-72
0.21842259998084046,-20
0.21873839999898337,27
0.2190816999936942,59
0.21982420000131242,30
0.22053029999369755,-29
0.22131359999184497,-28
0.22173980000661686,-54
0.22217719999025576,2
0.222613599995384,34
0.2229450999875553,-52
0.22330680000595748,4
0.22361039998941123,73
0.223932099994272,-12
0.22423890000209212,-88
0.2245579999871552,-20
0.22485989998676814,20
0.22517389999120496,-59
0.22545120000722818,-71
0.22571529998094775,-76
0.22596449998673052,30
0.22622359998058528,1
0.2264654999889899,88
0.22672760000568815,68
0.22697600000537932,31
0.2271941999788396,66
0.2274267000029795,-11
0.2276791000040248,-80
0.22793279998586513,-11
0.22819550000713207,-42
0.22846419998677447,-8
0.2287116999796126,-76
0.2289654999913182,23
0.22928420000243932,-15
0.2295791999786161,-11
0.22987280000234023,7
0.23018019998562522,7
0.23048149998066947,-29
0.23076899998704903,35
0.23103219998301938,50
0.23127629997907206,2
0.2315216999850236,3
0.23174369998741895,23
0.23206089998711832,44
0.23230400000466034,59
0.23254689999157563,27
0.23277149998466484,-18
0.23297230000025593,-13
