t,cycle,phase,z,adc
12.8869,23,in,4,32767
12.8911,23,snap,0,32767
12.8958,24,in,0,32767
12.9002,24,pre,0,32767
12.9046,24,pre,0,32767
12.9091,24,pre,0,32767
12.9139,24,pre,0,32767
12.9178,24,pre,0,32767
12.922,24,pre,0,32767
12.9283,24,pre,0,32767
12.9325,24,pre,0,32767
12.9363,24,pre,0,32767
12.9407,24,pre,0,32767
12.9463,24,pre,0,32767
12.9504,24,pre,0,32767
12.9541,24,pre,0,32767
12.9578,24,pre,0,32767
12.9625,24,pre,0,32767
12.9668,24,pre,0,32767
12.9718,24,pre,0,32767
12.9774,24,pre,0,32767
12.9821,24,pre,0,1034.6
12.9871,24,pre,0,606.2
12.992,24,in,4,255.6
12.9974,24,in,8,611
13.0018,24,in,12,953.8
13.0058,24,in,16,1982
13.0104,24,out,12,1591.2
13.0151,24,out,8,1582.2
13.02,24,out,4,2668.4
13.0252,24,out,0,3579.8
13.0303,25,in,0,5638.4
13.0359,25,pre,0,7026
13.041,25,pre,0,6392.8
13.0463,25,pre,0,5410.6
13.0512,25,pre,0,6442.6
13.0567,25,pre,0,8255.8
13.0612,25,pre,0,8842.4
13.066,25,pre,0,9388
13.071,25,pre,0,14921
13.0756,25,pre,0,13497.8
13.0811,25,pre,0,12390.2
13.0865,25,pre,0,18846.4
13.0917,25,pre,0,19042.6
13.0965,25,pre,0,17974.6
13.1013,25,pre,0,21004.4
13.1065,25,pre,0,15561.6
13.1121,25,pre,0,14390
13.1169,25,pre,0,13600.6
13.1225,25,pre,0,19011.2
13.128,25,pre,0,15986
13.133,25,pre,0,16333.2
13.1378,25,in,4,15611.8
13.143,25,snap,0,18305
13.1479,26,in,0,11027.2
13.1523,26,pre,0,10765.6
13.1575,26,pre,0,10567.6
13.1634,26,pre,0,12665.4
13.1683,26,pre,0,8990.2
13.1737,26,pre,0,10015
13.1791,26,pre,0,7580.8
13.1843,26,pre,0,7985.4
13.1892,26,pre,0,8443.4
13.1947,26,pre,0,8474.6
13.1997,26,pre,0,24507
13.2045,26,pre,0,12446.8
13.2094,26,pre,0,11992.4
13.2138,26,pre,0,13094.8
13.2183,26,pre,0,13836.8
13.223,26,pre,0,13683.2
13.2288,26,pre,0,13377.2
13.2347,26,pre,0,20530.2
13.2405,26,pre,0,29597
13.2452,26,pre,0,32516
13.251,26,pre,0,32767
13.2561,26,in,4,32767
13.2618,26,snap,0,32767
13.2669,27,in,0,32767
13.2724,27,pre,0,32767
13.2773,27,pre,0,32767
13.2819,27,pre,0,32767
13.2865,27,pre,0,32767
13.291,27,pre,0,32767
13.2966,27,pre,0,32767
13.3023,27,pre,0,32767
13.3076,27,pre,0,32767
13.3131,27,pre,0,32767
13.3187,27,pre,0,32767
13.324,27,pre,0,32767
13.3288,27,pre,0,32767
13.3342,27,pre,0,32767
13.3397,27,pre,0,32767
13.3446,27,pre,0,32767
13.3496,27,pre,0,32767
13.3547,27,pre,0,32767
13.3597,27,pre,0,32767
13.3642,27,pre,0,32767
13.3693,27,pre,0,32767
13.374,27,in,4,32767
13.3785,27,snap,0,32767
13.3834,28,in,0,32767
13.3883,28,pre,0,32767
13.3928,28,pre,0,32767
13.3978,28,pre,0,32767
13.4022,28,pre,0,32767
13.4062,28,pre,0,32767
13.4105,28,pre,0,32767
13.4144,28,pre,0,32767
13.418,28,pre,0,32767
13.4215,28,pre,0,32767
13.4251,28,pre,0,32767
13.4297,28,pre,0,32767
13.4336,28,pre,0,32767
13.4378,28,pre,0,32767
13.4421,28,pre,0,32767
13.4464,28,pre,0,32767
13.4501,28,pre,0,32767
13.4539,28,pre,0,32767
13.4581,28,pre,0,32767
13.4628,28,pre,0,32767
13.4674,28,pre,0,32767
13.4716,28,in,4,31265.8
13.4762,28,snap,0,14795.8
13.4816,29,in,0,7884.6
13.4857,29,pre,0,6625.4
13.4896,29,pre,0,11608.8
13.4942,29,pre,0,32767
13.4982,29,pre,0,32767
13.5017,29,pre,0,32767
13.5058,29,pre,0,32767
13.5104,29,pre,0,32767
13.5151,29,pre,0,32767
13.5192,29,pre,0,32767
13.5228,29,pre,0,32767
13.5268,29,pre,0,32767
13.5306,29,pre,0,32767
13.535,29,pre,0,32767
13.5393,29,pre,0,32767
13.543,29,pre,0,32767
13.5469,29,pre,0,32767
13.5508,29,pre,0,32767
13.5542,29,pre,0,32767
13.558,29,pre,0,32767
13.5623,29,pre,0,32767
13.5661,29,in,4,32767
13.5695,29,snap,0,32767
13.5732,30,in,0,32767
13.5772,30,pre,0,32767
13.581,30,pre,0,32767
13.5844,30,pre,0,32767
13.5879,30,pre,0,32767
13.5917,30,pre,0,32767
13.5953,30,pre,0,32767
13.5986,30,pre,0,32767
13.6022,30,pre,0,32767
13.6057,30,pre,0,32767
13.6099,30,pre,0,32767
13.6134,30,pre,0,32767
13.6169,30,pre,0,32767
13.6208,30,pre,0,32767
13.6242,30,pre,0,32767
13.6281,30,pre,0,32767
13.6316,30,pre,0,32767
13.6353,30,pre,0,32767
13.6391,30,pre,0,32767
13.6425,30,pre,0,32767
13.6465,30,pre,0,32767
13.6501,30,in,4,32767
13.6543,30,snap,0,32767
